subject,body,sender,reply_to,headers,label
"URGENT: Your PayPal account has been suspended","Dear valued customer your account has been suspended due to suspicious activity. Click http://192.168.1.45/paypal-verify to restore access immediately. Enter your password credit card number and social security number. Act now or your account will be closed within 24 hours!!!","security@paypa1-alert.tk","harvest@attacker-domain.xyz","","1"
"Win a FREE iPhone 15 Pro NOW!!!","Congratulations you have been selected as our lucky winner! Claim your free prize by clicking http://bit.ly/win-iphone-free Enter your credit card details to cover shipping. Limited time offer expires in 24 hours. You must respond immediately!!!","prizes@free-iphone-win.xyz","collect@prizeharvest.tk","","1"
"FINAL NOTICE: Your Microsoft account will be deleted","Dear user this is your final warning. Your Microsoft account has been compromised by unauthorized access. Verify your identity immediately at http://10.0.0.1/microsoft-login or lose access permanently. Enter your username and password now!!!","noreply@micros0ft-security.ml","","","1"
"Your Amazon order has been placed","Hi there your order #112-3456789-0123456 has been placed and will arrive by Thursday. Track your package at amazon.com/orders. Thank you for shopping with us!","order-update@amazon.com","","","0"
"Team standup meeting tomorrow at 9am","Hi everyone just a reminder that we have our weekly standup tomorrow at 9am in the main conference room. Please come prepared with your updates. See you all then!","manager@company.com","","","0"
"Your invoice from Acme Corp - INV-2024-001","Please find attached your invoice INV-2024-001 for $1250.00 due on November 30th. Please remit payment by the due date. Contact billing@acmecorp.com with any questions.","billing@acmecorp.com","","","0"
"ALERT: Suspicious login to your bank account","We detected a login attempt from an unknown device. If this was not you click http://198.51.100.42/bank-secure-login immediately to secure your account. Provide your account number and PIN to verify identity. URGENT!!!","security@bank-alert-secure.tk","steal@phishcollect.xyz","","1"
"Quarterly all-hands meeting recap","Hi team thank you for attending today's all-hands. Recording is available on the company intranet. Key highlights: Q3 revenue up 12 percent new product launch in January hiring plan approved. Questions please reach out to your manager.","ceo@company.com","","","0"
"You have won $10000 dollars claim now","Dear winner you have been selected in our monthly lottery draw. You have WON $10000 dollars!!! To claim your prize send your bank account number routing number and social security number to claim@lottery-winner.xyz. Act now offer expires TONIGHT!!!","lottery@win-money-now.ml","claim@bankdetails-harvest.xyz","","1"
"Password reset request","Hi we received a request to reset the password for your account. If you requested this click the link below. This link will expire in 24 hours. If you did not request a reset you can safely ignore this email.","noreply@yourservice.com","","","0"
"IRS Tax Refund Notification URGENT","The Internal Revenue Service has calculated you are owed a tax refund of $3847.29. To receive your refund verify your identity at http://172.16.0.1/irs-refund Enter your social security number bank account and routing number immediately. This offer expires in 48 hours!!!","refund@irs-gov-refund.xyz","collect@taxharvest.tk","","1"
"Welcome to the team!","Hi welcome aboard! We are so excited to have you joining us next Monday. Your manager will reach out before your start date with onboarding details. In the meantime feel free to reach out if you have any questions. Looking forward to working with you!","hr@company.com","","","0"
"FINAL WARNING account closure","Your account shows signs of fraudulent activity. To prevent permanent closure enter your login credentials at http://bit.ly/secure-verify-account within 2 hours. Failure to respond will result in immediate account suspension and legal action!!!","fraud-dept@account-secure.gq","","","1"
"Lunch plans for Friday","Hey are you free for lunch on Friday? A few of us are going to that new Thai place downtown around noon. Let me know if you can make it! Should be fun.","colleague@company.com","","","0"
"Project proposal for client review","Hi please find attached the updated project proposal for the Henderson account. I have incorporated all the feedback from last week's meeting. Please review and let me know if you have any additional changes before we send to the client on Thursday.","projectlead@agency.com","","","0"
"CONGRATULATIONS your email was selected","You are the lucky recipient of our email subscriber giveaway! To claim your $500 Amazon gift card click http://tinyurl.com/gift-card-claim and provide your name address credit card and social security number for verification. Hurry only 3 prizes remaining!!!","promo@gift-card-winner.cf","","","1"
"Monthly newsletter - November edition","Hello subscriber here is your November newsletter! This month we cover industry trends product updates customer success stories and upcoming events. As always thank you for being part of our community. Unsubscribe at any time using the link below.","newsletter@legitimate-company.com","","","0"
"SECURITY BREACH detected on your account","WARNING multiple failed login attempts detected on your account from Russia. Your account has been temporarily locked. Verify your identity IMMEDIATELY at http://45.33.32.156/verify-account to unlock. Provide username password and credit card for identity verification!!!","security-team@account-protect.xyz","collect@breach-harvest.ml","","1"
"Conference speaking invitation","Dear colleague we would like to invite you to speak at our annual cybersecurity conference in March. Your research on machine learning applications would be a perfect fit for our audience. Please reply to discuss details and scheduling. We cover all travel expenses.","program-committee@secconf.org","","","0"
"Your subscription is expiring RENEW NOW","Your premium subscription expires in 24 hours. Renew now to avoid losing access to all premium features. CLICK HERE to renew http://bit.ly/renew-subscription-now Enter your credit card details to continue your membership. Do not let your subscription lapse!!!","billing@subscription-renew-alert.tk","harvest@renewcollect.xyz","","1"
